gene_id,symbol,C_pearson,C_spearman,mean_expression,max_expression
ENSG00000000003,TSPAN6,0.5212868699981198,0.6557422969187676,0.08535135079142855,0.5059411
ENSG00000000005,TNMD,0.474063511859014,0.6325089177652843,0.004091452384628572,0.028299484
ENSG00000000419,DPM1,0.22532971036044505,0.06498599439775911,0.2830789414285714,0.38706702
ENSG00000000457,SCYL3,0.4971406120996313,0.4134453781512606,0.09518282534285714,0.21551393
ENSG00000000460,FIRRM,0.31515571273373566,0.3893557422969188,0.06998365162857144,0.20180169
ENSG00000000938,FGR,0.8799773042869254,0.8092436974789917,0.3246487519571429,1.6004368
ENSG00000001036,FUCA2,0.0755055056806715,0.16302521008403362,0.1812754969428571,0.5235023
ENSG00000001084,GCLC,0.6898722323592282,0.15994397759103643,0.31077207754285724,1.6926931
ENSG00000001167,NFYA,0.08776956268044862,0.21988795518207285,0.1431449689142857,0.43832132
ENSG00000001460,STPG1,0.3661165518615692,0.5783506566671613,0.0465484674,0.3039541
ENSG00000001461,NIPAL3,0.3898407320393252,0.34369747899159664,0.1334176975142857,0.29241145
ENSG00000001497,LAS1L,0.5462504749218944,0.6224089635854343,0.11250774802857144,0.23895636
ENSG00000001561,ENPP4,0.26472836663698857,0.34873949579831937,0.09861132974285713,0.2834695
ENSG00000001617,SEMA3F,0.7526251365638006,0.6000000000000001,0.03198160385,0.32994497
ENSG00000001626,CFTR,0.8685095651758474,0.44102127525098916,0.17778679328571428,4.0148354
ENSG00000001629,ANKIB1,0.29819556962127886,0.29551820728291317,0.47194537257142855,0.6859657
ENSG00000001630,CYP51A1,0.2838470424240955,0.39131652661064426,0.05110360662857143,0.1771114
ENSG00000001631,KRIT1,0.4737760699623076,0.4725490196078432,0.16711083291428572,0.33591622
ENSG00000002016,RAD52,0.5282449308735476,0.5005602240896359,0.08762430774285712,0.16570131
ENSG00000002330,BAD,0.45813851363331337,0.5372549019607844,0.19045689377142858,0.39701396
ENSG00000002549,LAP3,0.016129447172721807,0.22605042016806726,0.3180492065142857,0.7136224
ENSG00000002587,HS3ST1,0.8404251476858244,0.6459383753501401,0.09351213660571428,1.273429
ENSG00000002745,WNT16,0.09922669723526668,0.3163556113278676,0.003298900198428571,0.06383628
ENSG00000002746,HECW1,0.12887782106933085,0.265883745645956,0.015177633028571431,0.09035337
ENSG00000002822,MAD1L1,0.24310627831949244,-0.01988795518207283,0.013189059482857143,0.06559951
ENSG00000002834,LASP1,0.44465044968091233,0.40896358543417366,0.37769942428571424,0.7266829
ENSG00000002919,SNX11,-0.00894166237342026,0.05434173669467787,0.06953827482857143,0.12756605
ENSG00000002933,TMEM176A,0.1003402275585667,0.3159663865546219,0.15276496215142857,0.8704175
ENSG00000003056,M6PR,0.6314737960685116,0.7100840336134455,0.3918887186857143,0.85386413
ENSG00000003096,KLHL13,0.4645629810018856,0.6204626611079884,0.07969529773714286,0.29731068
ENSG00000003137,CYP26B1,0.6884058822332672,0.5603810811170461,0.014459729985257143,0.09215048
ENSG00000003147,ICA1,0.7770268653635397,0.6652661064425771,0.21611473173428572,0.86764413
ENSG00000003249,DBNDD1,0.46706501247030197,0.34792013360503743,0.012358497999714285,0.09728519
ENSG00000003393,ALS2,0.7180990981083116,0.41960784313725485,0.1320746790857143,0.61983335
ENSG00000003402,CFLAR,0.12009420050940367,0.09103641456582634,1.029418075714286,2.2165859
ENSG00000003436,TFPI,0.6975431305129421,0.5927170868347339,0.52006519,1.9512465
ENSG00000003509,NDUFAF7,-0.09479483529403519,-0.19635854341736697,0.11713685477142857,0.18552221
ENSG00000003756,RBM5,0.26682960159384633,0.16946778711484592,0.44512963,0.6049521
ENSG00000003987,MTMR7,0.3091602181244725,0.26990685688431837,0.017376878747714285,0.060752228
ENSG00000003989,SLC7A2,0.7700207376164228,0.627170868347339,0.18047570503999996,1.795224
ENSG00000004059,ARF5,0.16045317212744586,0.24369747899159663,0.3013613031142856,0.59589285
ENSG00000004139,SARM1,-0.05134755237350273,0.1219341574799977,0.042961032999999996,0.11940736
ENSG00000004142,POLDIP2,0.5401781361369485,0.5361344537815127,0.15995676557142854,0.29576793
ENSG00000004399,PLXND1,0.6676070430711216,0.6352941176470589,0.17746533335999998,0.5853246
ENSG00000004455,AK2,0.35309003446740383,0.3450980392156863,0.2902034628571429,0.6075276
ENSG00000004468,CD38,0.08554400485830718,0.3324929971988796,0.18522107912857141,1.2414547
ENSG00000004478,FKBP4,0.5197356608327343,0.39131652661064426,0.20495491294285714,0.6189298
ENSG00000004487,KDM1A,0.5033720605278065,0.4120448179271709,0.25353585734285716,0.58773243
ENSG00000004534,RBM6,0.3145052319530332,0.2705882352941177,0.8751157005714286,1.3297092
ENSG00000004660,CAMKK1,-0.2009105110452812,-0.09551820728291317,0.047564501211428564,0.13259706
ENSG00000004700,RECQL,0.5133525620913377,0.5515406162464986,0.23681794834285716,0.46639752
ENSG00000004766,VPS50,0.19028321863179162,0.1554621848739496,0.22443185994285716,0.35205236
ENSG00000004776,HSPB6,0.5684630965105656,0.3492997198879552,0.1475458510857143,0.9230405
ENSG00000004777,ARHGAP33,0.397617867112667,0.28943682839695434,0.01765755213714286,0.07284042
ENSG00000004779,NDUFAB1,0.3514646205438452,0.257703081232493,0.43431951785714284,0.7900124
ENSG00000004799,PDK4,0.011424224240664999,0.48395246641199097,0.5653066586000001,1.8044863
ENSG00000004809,SLC22A16,,,0.03041454521714286,0.23639773
ENSG00000004838,ZMYND10,0.20062451679995374,0.30989073785772653,0.00673261400857143,0.017786926
ENSG00000004846,ABCB5,-0.08536669290373292,0.07486371059063728,0.018687201954285717,0.1212062
