ensembl_gene_id,gene_name,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",T cell,adventitial cell,basal cell,bladder urothelial cell,classical monocyte,endothelial cell,enterocyte of epithelium of large intestine,epithelial cell,fibroblast,fibroblast of cardiac tissue,granulocyte,hematopoietic precursor cell,hematopoietic stem cell,hepatocyte,intermediate monocyte,large intestine goblet cell,luminal epithelial cell of mammary gland,macrophage,mature NK T cell,mesenchymal stem cell,mesenchymal stem cell of adipose tissue,monocyte,myeloid dendritic cell,myeloid leukocyte,natural killer cell,neutrophil,non-classical monocyte,pancreatic acinar cell,pancreatic ductal cell,plasma cell,smooth muscle cell,stromal cell,mean_expression_divergence
ENSG00000000003,TSPAN6,0.013884309338631204,0.03273429023861922,0.02725529468777531,0.014301048627626182,0.03007916484457847,0.10445829646778935,0.062081780098690836,0.010930239835737973,0.009412839787557829,0.014031539067383277,0.057144378228173885,0.012390296046277042,0.03838153064091453,0.016237860002857818,0.03939255191427321,0.047886167837425726,0.008877686266251439,0.007852152283803867,0.006911958580386296,0.019753738945724877,0.008521496461178807,0.03904095929053109,0.026281687854440166,0.08068280947255131,0.016491965984934714,0.014530942771109254,0.000757291792878651,0.0034410273396665945,0.04490554774122012,0.020804958188475452,0.05561552935382483,0.04523295433501315,0.040590634133686666,0.014969941495179469,0.10860539260727997,0.03127057893035568
ENSG00000000005,TNMD,0.022459446129631154,0.02503230490511322,0.008636338974945925,0.026270230103699485,0.019898335051655426,0.053400551336544255,0.030336696776793855,0.03985679771133019,0.003586116748090647,0.009823478791115782,0.011339985750089036,0.014469105485890654,0.01833229389489934,0.008882929668725155,0.01935663005876919,0.03490703815164286,0.005769357861153549,0.02516037833855051,0.011443284265574751,0.007766328533021859,0.00037087933813637584,0.022329377032011013,0.008248873714267708,0.047988157789693744,0.022678048377450792,0.018315730400271932,0.030009687547871425,0.002431685331628443,0.010323878870137818,0.01526297009747589,0.013122502818763617,0.00028707293482022967,0.011395623450961978,0.008289448546211244,0.07465949045632575,0.019498315864093285
ENSG00000000419,DPM1,0.015123268198770693,0.020434798951687122,0.019357102314270354,0.011823479805403513,0.0030741586299512,0.01398899626002413,0.011696194099314881,0.0035468332983525606,0.02436779783253674,0.00900603866818735,0.046211262072317086,0.01754934273921439,0.010784840052034492,0.0014062227625584074,0.01704909187870733,0.0013450701626061996,0.01766812257102394,0.008708951517868078,0.01736743893599695,0.008030986024974445,0.0034119955256282815,0.006539087273132821,0.006981356355215874,0.02815831953831474,0.0038492715446283975,0.019543788188765912,0.03229577240921845,0.012733174355027514,0.020832158612334877,0.005381308012217499,0.05396362614006634,0.0018050317099580424,0.0021952194747778854,0.009769442881317827,0.038302227087211205,0.014980050739531871
ENSG00000000457,SCYL3,0.015028125011216645,0.0037962354949587175,0.0034630875666592574,0.0018752134148807892,0.013208857886462791,0.010169653650595365,0.012600591159898355,0.0019081309460783295,0.00358853558252078,0.0011878884408859664,0.02856594679503987,0.011324437206428974,0.019669529548490747,0.0014497395156210036,0.006561574862363816,0.02774060533766263,0.009066009392693277,0.00788277733008161,0.00893663658563091,0.0008987292288244546,0.01897322223723886,0.002158745271322979,0.0036470928755790357,0.009785537408337439,0.0035995837714105253,0.0018037451599420612,0.03411721288386897,0.016472873905189218,0.000769447115177865,0.0006741979224473382,0.016202831283693563,0.0036280878759633204,0.0005019936422072284,0.009070197053913192,0.014689287515786926,0.009286181739402075
ENSG00000000460,FIRRM,0.01615234289189392,0.009956046931502404,0.0012708664187915403,0.03592174107827917,0.020056233107644206,0.008416349601264587,0.0016619406723031279,0.00030303660838429565,0.022167927799690814,0.005782001333114106,0.028911876075024576,0.0030224130528342893,0.01533642385592651,0.024551287491096925,0.03369042481687202,0.04166834973017325,0.0017789643486485198,0.008681987139136819,0.004018455507445362,0.0065785814569302515,0.009395816156359631,0.006828318152711058,0.018978490201657067,0.004260993499089689,0.01667288706017748,0.019438188725433115,0.00304259395006574,0.009562687115497943,0.013756978098468622,0.003637847179169578,0.004152024506398653,0.0011570173569954698,0.010133983631295715,0.01020956234820937,0.0020522670634521853,0.01209162585605537
ENSG00000000938,FGR,0.16775140669949629,0.1582687214579335,0.08182258222079479,0.37716802567037855,0.048553632089137044,0.08439485555722133,0.11988323033110017,0.412385458324551,0.004244564138506289,0.06828084110239217,0.01638540850819123,0.007824912169145978,0.03650419235427566,0.014634798830299514,0.18994997461304913,0.20863351768125504,0.005568261826219792,0.10398924028615432,0.0030877645167889448,0.03949107629245225,0.1961408939158511,0.0820144599028119,0.126276316241676,0.10190026188814943,0.3788922997828076,0.19000142158345523,0.12143788998106411,0.06899992089696895,0.36251912194932273,0.007706256841529507,0.23357176726630832,0.04077838565617725,0.34270372135758487,0.08302872864361438,0.21655300468353045,0.13432419757886274
ENSG00000001036,FUCA2,0.08978231407997846,0.029297165778302197,0.002247397952727173,0.10010929682639459,0.042007036359087445,0.04197086436977371,0.001111816127151147,0.02925674339602985,0.017684693435928687,0.0538958373464546,0.05827437950321409,0.05689842222628694,0.07141301752074315,0.0446481848482765,0.03486316448852157,0.04730066958426923,0.03624752029937989,0.03157061038900681,0.01999605704998663,0.047444312414054,0.0802546126774544,0.006975946081304335,0.054953727059929,0.01022602395018821,0.015198839485271287,0.03508094943880621,0.005880436370481294,0.0020838370237300785,0.0007974609825549851,0.05843253866653235,0.08962111236327752,0.02165639828179644,0.013850772907051709,0.018520149454801176,0.067537025990582,0.03820255242083793
ENSG00000001084,GCLC,0.08380334445164718,0.004951215642293963,0.029226851037644705,0.14369621088273976,0.05108322029895032,0.3338923996887928,0.14337229307494087,0.10861851274831952,0.031399621625574976,0.13951172635466086,0.17171868274990024,0.03132884710840961,0.00777483652827142,0.0045551142398224664,0.03989743570659367,0.037290206851743474,0.07271357844944683,0.006211538357981706,0.1721911983037073,0.2745488711659078,0.10863016282000261,0.05910366394026466,0.01120545439444963,0.052640047441812346,0.024705849675208703,0.024962266865449736,0.09769927665461789,0.008620285278839193,0.0045273397969157955,0.06490839810411336,0.09282959986116611,0.058626555382577134,0.10991327981019162,0.1260111611877463,0.12189462526420271,0.08154467633556879
ENSG00000001167,NFYA,0.0034638121609943673,0.03713666705466699,0.009649508458730882,0.010597114063714868,0.007178744159574538,0.010806520929593881,0.004476620948946102,0.013707746887125293,0.011893288064207462,0.004631848444222516,0.025807772882984897,0.015522775346122846,0.005219460001422313,0.069052891320633,0.06425068389561012,0.05548209061841533,0.011987738789760618,0.005554855402523224,0.010320525965857214,0.0077031907703686165,0.010061939638217946,0.019837449690625723,0.005918703926348461,0.005666109105326198,0.013092262200623067,0.01816624670046887,0.04679784000824448,0.008548411242022231,0.039108384518953695,0.012922288981357739,0.00956317488931019,0.014088000902185404,0.027380766802197767,0.026553094039120064,0.008851262579529957,0.018599994039714483
ENSG00000001460,STPG1,0.011272621470585241,0.0004456413344150253,0.004023996653393218,0.0032033597063419565,0.011431091736266667,0.05794085297029296,0.03923921205224141,0.014466879808853389,0.0020906935074914345,0.004597040297277983,0.00015406533314817408,0.004332696529984337,0.003377227816108346,0.006186464498370554,0.009550430331714413,0.03682081687927778,0.007581790029527644,0.010169294913483154,0.00020434210925580117,0.03604042121312508,0.0006896409401305065,0.003158545176196301,0.01398714801008647,0.01813894305825702,0.0038445626118323774,0.0005181825983063921,0.0059325257421527205,0.0014711144022115461,0.008336366926115186,0.0012890186862177574,0.029997155943294645,0.009137224372354775,0.0027010596548384946,0.0033078621599061404,0.003512040184728257,0.01054715227593666
