human_ensembl_id,mouse_ensembl_id,pct_identity,seq_divergence
ENSG00000065548,ENSMUSG00000027091,95.5399,4.460099999999997
ENSG00000137055,ENSMUSG00000028577,94.14734999999999,5.852650000000011
ENSG00000161638,ENSMUSG00000000555,90.58075,9.419250000000005
ENSG00000115112,ENSMUSG00000026380,93.5282,6.471800000000002
ENSG00000162267,ENSMUSG00000006522,84.9916,15.008399999999995
ENSG00000119048,ENSMUSG00000020390,100.0,0.0
ENSG00000267673,ENSMUSG00000079677,81.8447,18.155299999999997
ENSG00000100749,ENSMUSG00000021115,87.1212,12.878799999999998
ENSG00000164211,ENSMUSG00000024378,83.1468,16.8532
ENSG00000176105,ENSMUSG00000014932,96.12575000000001,3.8742499999999893
ENSG00000131747,ENSMUSG00000020914,89.6372,10.362799999999993
ENSG00000125743,ENSMUSG00000040824,100.0,0.0
ENSG00000151365,ENSMUSG00000035686,83.79910000000001,16.20089999999999
ENSG00000165175,ENSMUSG00000008035,88.21979999999999,11.780200000000008
ENSG00000108622,ENSMUSG00000001029,59.4211,40.5789
ENSG00000160392,ENSMUSG00000049643,87.07465,12.925349999999995
ENSG00000138696,ENSMUSG00000052430,98.2072,1.7927999999999997
ENSG00000106366,ENSMUSG00000037411,79.1045,20.8955
ENSG00000178026,ENSMUSG00000046807,81.8207,18.179299999999998
ENSG00000125741,ENSMUSG00000052214,85.4749,14.525099999999995
ENSG00000074755,ENSMUSG00000055670,91.03835000000001,8.961649999999992
ENSG00000109084,ENSMUSG00000037278,82.3864,17.613600000000005
ENSG00000106546,ENSMUSG00000019256,71.31264999999999,28.68735000000001
ENSG00000063438,ENSMUSG00000021575,61.0878,38.9122
ENSG00000112038,ENSMUSG00000000766,86.58555,13.414450000000002
ENSG00000115364,ENSMUSG00000030045,81.5069,18.4931
ENSG00000175329,ENSMUSG00000031621,50.10455,49.89545
ENSG00000088926,ENSMUSG00000031645,77.98245,22.01755
ENSG00000100941,ENSMUSG00000020994,93.2815,6.718500000000006
ENSG00000179115,ENSMUSG00000003808,92.5197,7.4803
ENSG00000162961,ENSMUSG00000024067,97.9798,2.0202000000000027
ENSG00000153130,ENSMUSG00000063253,82.8,17.200000000000003
ENSG00000145309,ENSMUSG00000007907,61.32475,38.67525
ENSG00000104835,ENSMUSG00000070699,86.1004,13.899600000000007
ENSG00000031698,ENSMUSG00000068739,95.71185,4.288150000000002
ENSG00000167077,ENSMUSG00000068117,78.7821,21.2179
ENSG00000107282,ENSMUSG00000024897,93.27065,6.729349999999997
ENSG00000133895,ENSMUSG00000024947,95.8466,4.153400000000005
ENSG00000151779,ENSMUSG00000020576,85.63655,14.36345
ENSG00000076321,ENSMUSG00000026705,99.5895,0.410499999999999
ENSG00000156860,ENSMUSG00000042423,95.4082,4.591800000000006
ENSG00000152332,ENSMUSG00000026667,99.284,0.715999999999994
ENSG00000175221,ENSMUSG00000013833,89.22325000000001,10.776749999999993
ENSG00000166886,ENSMUSG00000025402,95.619,4.381
ENSG00000138386,ENSMUSG00000002881,92.7031,7.296899999999994
ENSG00000134352,ENSMUSG00000021756,77.16624999999999,22.83375000000001
ENSG00000109381,ENSMUSG00000037174,91.9056,8.094399999999993
ENSG00000103275,ENSMUSG00000015120,100.0,0.0
ENSG00000247596,ENSMUSG00000023277,96.5616,3.4384000000000015
ENSG00000151239,ENSMUSG00000022451,94.8571,5.142899999999997
ENSG00000184497,ENSMUSG00000038457,77.37075,22.62925
ENSG00000138107,ENSMUSG00000025228,100.0,0.0
ENSG00000197594,ENSMUSG00000037370,79.3095,20.6905
ENSG00000204351,ENSMUSG00000040356,93.3334,6.6666000000000025
ENSG00000186364,ENSMUSG00000028100,68.44925,31.550749999999994
ENSG00000188191,ENSMUSG00000025855,94.7507,5.249300000000005
ENSG00000141542,ENSMUSG00000025170,92.8058,7.194199999999995
ENSG00000152253,ENSMUSG00000005233,74.22370000000001,25.776299999999992
ENSG00000133313,ENSMUSG00000024644,91.1579,8.842100000000002
ENSG00000257987,ENSMUSG00000022993,80.1527,19.847300000000004
ENSG00000145526,ENSMUSG00000040420,96.076,3.9240000000000066
ENSG00000059769,ENSMUSG00000070972,91.21494999999999,8.785050000000012
ENSG00000184677,ENSMUSG00000060862,78.4186,21.581400000000002
ENSG00000180269,ENSMUSG00000066197,95.14144999999999,4.858550000000008
ENSG00000143363,ENSMUSG00000015711,85.3364,14.663600000000002
ENSG00000203907,ENSMUSG00000032346,40.34825,59.65175
ENSG00000271271,ENSMUSG00000029268,84.2153,15.7847
ENSG00000173610,ENSMUSG00000106677,80.56880000000001,19.43119999999999
ENSG00000213397,ENSMUSG00000031371,64.8244,35.1756
ENSG00000113296,ENSMUSG00000021702,92.41175000000001,7.588249999999988
ENSG00000006451,ENSMUSG00000008859,99.5146,0.4853999999999985
ENSG00000027075,ENSMUSG00000021108,97.6574,2.3426000000000045
ENSG00000115665,ENSMUSG00000023945,92.931,7.069000000000003
ENSG00000174080,ENSMUSG00000083282,76.36265,23.637349999999998
ENSG00000075043,ENSMUSG00000016346,95.1781,4.821899999999999
ENSG00000146966,ENSMUSG00000038456,82.62985,17.370149999999995
ENSG00000175984,ENSMUSG00000007379,83.4431,16.5569
ENSG00000166444,ENSMUSG00000031024,93.0869,6.9131
ENSG00000162777,ENSMUSG00000027901,89.65039999999999,10.34960000000001
ENSG00000143839,ENSMUSG00000070645,70.29875,29.70125
ENSG00000140199,ENSMUSG00000027130,98.1739,1.8260999999999967
ENSG00000104047,ENSMUSG00000023330,73.6842,26.315799999999996
ENSG00000137207,ENSMUSG00000071074,96.41499999999999,3.585000000000008
ENSG00000119782,ENSMUSG00000020635,97.2222,2.777799999999999
ENSG00000166682,ENSMUSG00000032268,78.50915,21.490849999999995
ENSG00000150275,ENSMUSG00000052613,76.74685,23.253150000000005
ENSG00000141027,ENSMUSG00000018501,91.8683,8.131699999999995
ENSG00000168397,ENSMUSG00000026280,94.6565,5.343500000000006
ENSG00000125703,ENSMUSG00000028550,90.393,9.607
ENSG00000130734,ENSMUSG00000002820,86.2869,13.713099999999997
ENSG00000090470,ENSMUSG00000041837,91.22815,8.77185
ENSG00000167642,ENSMUSG00000074227,70.6349,29.365099999999998
ENSG00000172345,ENSMUSG00000046027,83.5681,16.4319
ENSG00000110066,ENSMUSG00000045098,87.3304,12.669600000000003
ENSG00000166343,ENSMUSG00000021815,77.94354999999999,22.056450000000012
ENSG00000165724,ENSMUSG00000026974,100.0,0.0
