human_ensembl_id,pct_identity,seq_divergence,ensembl_gene_id,mean_expression_divergence
ENSG00000065548,95.5399,4.460099999999997,ENSG00000065548,0.06822065550918316
ENSG00000137055,94.14734999999999,5.852650000000011,ENSG00000137055,0.02505140488940193
ENSG00000161638,90.58075,9.419250000000005,ENSG00000161638,0.08097389615395097
ENSG00000115112,93.5282,6.471800000000002,ENSG00000115112,0.07490610899905317
ENSG00000162267,84.9916,15.008399999999995,ENSG00000162267,0.042107153064388385
ENSG00000119048,100.0,0.0,ENSG00000119048,0.06385132748288015
ENSG00000267673,81.8447,18.155299999999997,ENSG00000267673,0.004763503867858042
ENSG00000100749,87.1212,12.878799999999998,ENSG00000100749,0.041142470697126905
ENSG00000164211,83.1468,16.8532,ENSG00000164211,0.02948358109685891
ENSG00000176105,96.12575000000001,3.8742499999999893,ENSG00000176105,0.09524973903351729
ENSG00000131747,89.6372,10.362799999999993,ENSG00000131747,0.04426602999539206
ENSG00000125743,100.0,0.0,ENSG00000125743,0.10708500476868474
ENSG00000151365,83.79910000000001,16.20089999999999,ENSG00000151365,0.02935162664617203
ENSG00000165175,88.21979999999999,11.780200000000008,ENSG00000165175,0.04050201012624217
ENSG00000108622,59.4211,40.5789,ENSG00000108622,0.08057487560643443
ENSG00000160392,87.07465,12.925349999999995,ENSG00000160392,0.005912799527111543
ENSG00000138696,98.2072,1.7927999999999997,ENSG00000138696,0.04284787467001892
ENSG00000106366,79.1045,20.8955,ENSG00000106366,0.08809564245723096
ENSG00000178026,81.8207,18.179299999999998,ENSG00000178026,0.00905977420404461
ENSG00000125741,85.4749,14.525099999999995,ENSG00000125741,0.024742690231909493
ENSG00000074755,91.03835000000001,8.961649999999992,ENSG00000074755,0.05005447932025009
ENSG00000109084,82.3864,17.613600000000005,ENSG00000109084,0.07249668130793457
ENSG00000106546,71.31264999999999,28.68735000000001,ENSG00000106546,0.05865910458907082
ENSG00000063438,61.0878,38.9122,ENSG00000063438,0.001114500916394346
ENSG00000112038,86.58555,13.414450000000002,ENSG00000112038,0.029065093941743468
ENSG00000115364,81.5069,18.4931,ENSG00000115364,0.0285593004500464
ENSG00000175329,50.10455,49.89545,ENSG00000175329,0.011444991726033747
ENSG00000088926,77.98245,22.01755,ENSG00000088926,0.018238432394555748
ENSG00000100941,93.2815,6.718500000000006,ENSG00000100941,0.07237659799313956
ENSG00000179115,92.5197,7.4803,ENSG00000179115,0.02876254791624704
ENSG00000162961,97.9798,2.0202000000000027,ENSG00000162961,0.028262482712888757
ENSG00000153130,82.8,17.200000000000003,ENSG00000153130,0.027592176211318313
ENSG00000145309,61.32475,38.67525,ENSG00000145309,0.0007350807580887239
ENSG00000104835,86.1004,13.899600000000007,ENSG00000104835,0.00805688475266973
ENSG00000031698,95.71185,4.288150000000002,ENSG00000031698,0.062417349440967586
ENSG00000167077,78.7821,21.2179,ENSG00000167077,0.05694032026088139
ENSG00000107282,93.27065,6.729349999999997,ENSG00000107282,0.042754993595223924
ENSG00000133895,95.8466,4.153400000000005,ENSG00000133895,0.010311679063405691
ENSG00000151779,85.63655,14.36345,ENSG00000151779,0.04440811248025852
ENSG00000076321,99.5895,0.410499999999999,ENSG00000076321,0.024078666292607447
ENSG00000156860,95.4082,4.591800000000006,ENSG00000156860,0.013457132264187112
ENSG00000152332,99.284,0.715999999999994,ENSG00000152332,0.04012543667804067
ENSG00000175221,89.22325000000001,10.776749999999993,ENSG00000175221,0.013057115497350147
ENSG00000166886,95.619,4.381,ENSG00000166886,0.010227117299675759
ENSG00000138386,92.7031,7.296899999999994,ENSG00000138386,0.03149380970411557
ENSG00000134352,77.16624999999999,22.83375000000001,ENSG00000134352,0.12764575859422503
ENSG00000109381,91.9056,8.094399999999993,ENSG00000109381,0.15345760709161102
ENSG00000103275,100.0,0.0,ENSG00000103275,0.06789566411786592
ENSG00000247596,96.5616,3.4384000000000015,ENSG00000247596,0.050578826501944285
ENSG00000151239,94.8571,5.142899999999997,ENSG00000151239,0.029789457316977547
ENSG00000184497,77.37075,22.62925,ENSG00000184497,0.03211577275306782
ENSG00000138107,100.0,0.0,ENSG00000138107,0.023324482604913457
ENSG00000197594,79.3095,20.6905,ENSG00000197594,0.035293357237347514
ENSG00000204351,93.3334,6.6666000000000025,ENSG00000204351,0.009645531055370646
ENSG00000186364,68.44925,31.550749999999994,ENSG00000186364,0.005201595544968652
ENSG00000188191,94.7507,5.249300000000005,ENSG00000188191,0.015824060211266797
ENSG00000141542,92.8058,7.194199999999995,ENSG00000141542,0.02162155079134103
ENSG00000152253,74.22370000000001,25.776299999999992,ENSG00000152253,0.01867948800814877
ENSG00000133313,91.1579,8.842100000000002,ENSG00000133313,0.05804770008980579
ENSG00000257987,80.1527,19.847300000000004,ENSG00000257987,0.002962437116791169
ENSG00000145526,96.076,3.9240000000000066,ENSG00000145526,0.008591608742386587
ENSG00000059769,91.21494999999999,8.785050000000012,ENSG00000059769,0.01299725326593987
ENSG00000184677,78.4186,21.581400000000002,ENSG00000184677,0.011400912045113738
ENSG00000180269,95.14144999999999,4.858550000000008,ENSG00000180269,0.00033221463357807884
ENSG00000143363,85.3364,14.663600000000002,ENSG00000143363,0.006137624296480652
ENSG00000203907,40.34825,59.65175,ENSG00000203907,0.017105012734515992
ENSG00000271271,84.2153,15.7847,ENSG00000271271,2.0410542354426488e-06
ENSG00000173610,80.56880000000001,19.43119999999999,ENSG00000173610,0.0004020673219608708
ENSG00000213397,64.8244,35.1756,ENSG00000213397,0.0056087693741245425
ENSG00000113296,92.41175000000001,7.588249999999988,ENSG00000113296,0.058316316311707694
ENSG00000006451,99.5146,0.4853999999999985,ENSG00000006451,0.05429734507774314
ENSG00000027075,97.6574,2.3426000000000045,ENSG00000027075,0.15667068348842458
ENSG00000115665,92.931,7.069000000000003,ENSG00000115665,0.0048151692648000805
ENSG00000174080,76.36265,23.637349999999998,ENSG00000174080,0.0458060558928951
