human_ensembl_id,pct_identity,seq_divergence,ensembl_gene_id,gene_name,mean_expression_divergence
ENSG00000265972,95.6908,4.309200000000004,ENSG00000265972,TXNIP,0.33972706991976376
ENSG00000147403,99.5327,0.4672999999999945,ENSG00000147403,RPL10,0.33819303716547083
ENSG00000197956,96.0924,3.907600000000002,ENSG00000197956,S100A6,0.33393662224906856
ENSG00000231500,100.0,0.0,ENSG00000231500,RPS18,0.32370344063910494
ENSG00000100316,98.5112,1.4887999999999977,ENSG00000100316,RPL3,0.32221936586459127
ENSG00000143947,99.359,0.6410000000000053,ENSG00000143947,RPS27A,0.32016176493572635
ENSG00000105835,95.723,4.277000000000001,ENSG00000105835,NAMPT,0.3170665736857452
ENSG00000167526,98.1043,1.895700000000005,ENSG00000167526,RPL13,0.3148103411873378
ENSG00000134419,100.0,0.0,ENSG00000134419,RPS15A,0.3132998564776928
ENSG00000142937,100.0,0.0,ENSG00000142937,RPS8,0.3129032277039884
ENSG00000026025,97.4249,2.575100000000006,ENSG00000026025,VIM,0.3121795986044784
ENSG00000186468,100.0,0.0,ENSG00000186468,RPS23,0.31181997319155313
ENSG00000140988,98.6348,1.3652000000000015,ENSG00000140988,RPS2,0.30925046623345775
ENSG00000107796,100.0,0.0,ENSG00000107796,ACTA2,0.30911450323471323
ENSG00000144713,100.0,0.0,ENSG00000144713,RPL32,0.30838576257917555
ENSG00000198918,100.0,0.0,ENSG00000198918,RPL39,0.3079292747051214
ENSG00000148303,99.6241,0.37590000000000146,ENSG00000148303,RPL7A,0.3054005773208809
ENSG00000233927,100.0,0.0,ENSG00000233927,RPS28,0.30504367031657453
ENSG00000109475,99.1453,0.854699999999994,ENSG00000109475,RPL34,0.3002397499866613
ENSG00000105640,99.4318,0.5682000000000045,ENSG00000105640,RPL18A,0.2974058171186836
ENSG00000197958,99.3939,0.6060999999999979,ENSG00000197958,RPL12,0.2973021696598984
ENSG00000150991,96.521,3.478999999999999,ENSG00000150991,UBC,0.29579562107588303
ENSG00000083845,99.0196,0.980400000000003,ENSG00000083845,RPS5,0.2945842503137608
ENSG00000198755,100.0,0.0,ENSG00000198755,RPL10A,0.2944226291681955
ENSG00000108298,100.0,0.0,ENSG00000108298,RPL19,0.29225008659996377
ENSG00000145592,100.0,0.0,ENSG00000145592,RPL37,0.2919169072240643
ENSG00000110700,100.0,0.0,ENSG00000110700,RPS13,0.2909986111232336
ENSG00000108107,98.5401,1.4599000000000046,ENSG00000108107,RPL28,0.2899778053785606
ENSG00000182899,99.0909,0.9090999999999951,ENSG00000182899,RPL35A,0.2896895915194636
ENSG00000122406,98.3165,1.6834999999999951,ENSG00000122406,RPL5,0.2868941414679778
ENSG00000161016,100.0,0.0,ENSG00000161016,RPL8,0.28496858510753764
ENSG00000171863,100.0,0.0,ENSG00000171863,RPS7,0.28485235201427067
ENSG00000142676,100.0,0.0,ENSG00000142676,RPL11,0.28435957825253866
ENSG00000169554,96.6653,3.334699999999998,ENSG00000169554,ZEB2,0.2834501993440896
ENSG00000149591,97.0149,2.9851000000000028,ENSG00000149591,TAGLN,0.28275930686420836
ENSG00000164587,100.0,0.0,ENSG00000164587,RPS14,0.2823152148080837
ENSG00000149806,97.7444,2.255600000000001,ENSG00000149806,FAU,0.27894967281864574
ENSG00000171858,95.1807,4.819299999999998,ENSG00000171858,RPS21,0.276795786511419
ENSG00000075624,100.0,0.0,ENSG00000075624,ACTB,0.2767347568483591
ENSG00000137154,100.0,0.0,ENSG00000137154,RPS6,0.2737226606865203
ENSG00000125740,95.858,4.141999999999996,ENSG00000125740,FOSB,0.2728086275785161
ENSG00000170889,100.0,0.0,ENSG00000170889,RPS9,0.2722838046048444
