human_ensembl_id,pct_identity,seq_divergence,ensembl_gene_id,gene_name,mean_expression_divergence
ENSG00000166049,16.85335,83.14665,ENSG00000166049,PASD1,0.0002443299475093451
ENSG00000143631,18.89367,81.10633,ENSG00000143631,FLG,0.0009268017034943603
ENSG00000204296,20.120800000000003,79.8792,ENSG00000204296,TSBP1,0.004877594351950228
ENSG00000180155,20.82295,79.17705000000001,ENSG00000180155,LYNX1,0.005102009842127345
ENSG00000241356,21.90495,78.09505,ENSG00000241356,OR5G3,0.0003094577027255629
ENSG00000283039,23.64465,76.35535,ENSG00000283039,KLF18,3.685759824046619e-05
ENSG00000175691,24.6008,75.39920000000001,ENSG00000175691,ZNF77,0.005015175687269678
ENSG00000101883,25.33735,74.66265,ENSG00000101883,RHOXF1,0.00037864952573396407
ENSG00000184895,26.017599999999998,73.9824,ENSG00000184895,SRY,2.1397796450070543e-05
ENSG00000123576,26.420450000000002,73.57955,ENSG00000123576,ESX1,4.7134996058330874e-05
ENSG00000089505,26.6378,73.3622,ENSG00000089505,CMTM1,0.0003445076832138427
ENSG00000232040,26.69545,73.30455,ENSG00000232040,SCAND3,0.0009735047351475484
ENSG00000187581,26.765900000000002,73.2341,ENSG00000187581,COX8C,0.001605304841566365
ENSG00000164399,27.09655,72.90344999999999,ENSG00000164399,IL3,0.00012758137176998788
ENSG00000181143,27.303849999999997,72.69615,ENSG00000181143,MUC16,0.007796309539758344
ENSG00000186471,27.42015,72.57985,ENSG00000186471,AKAP14,0.00036327703682972326
ENSG00000166246,27.4668,72.5332,ENSG00000166246,DNAAF8,0.002449960932456428
ENSG00000203908,27.524099999999997,72.4759,ENSG00000203908,KHDC3L,0.00024037509562476625
ENSG00000260596,27.64285,72.35715,ENSG00000260596,DUX4,2.006630009826178e-05
ENSG00000204671,28.13485,71.86515,ENSG00000204671,IL31,7.515322297139173e-05
ENSG00000143520,28.30885,71.69115,ENSG00000143520,FLG2,0.0005209485526123786
ENSG00000178665,28.5186,71.48140000000001,ENSG00000178665,ZNF713,0.0033604062899269802
ENSG00000205592,28.7495,71.2505,ENSG00000205592,MUC19,0.001203091217067199
ENSG00000204869,28.89405,71.10595,ENSG00000204869,IGFL4,0.0008625472337388905
ENSG00000203933,29.351300000000002,70.64869999999999,ENSG00000203933,CXorf66,6.978285315193016e-05
ENSG00000178591,29.466499999999996,70.5335,ENSG00000178591,DEFB125,6.315627008846006e-05
ENSG00000250423,30.31655,69.68345,ENSG00000250423,KIAA1210,0.0012088902274296467
ENSG00000126545,30.53105,69.46895,ENSG00000126545,CSN1S1,0.0003965758711332533
