gene_id,symbol,C_pearson,C_spearman,mean_expression,tau,quartile,master_tf_flag,procrustes_contribution,donor_split_C_A,donor_split_C_B
ENSG00000000003,TSPAN6,0.5212868699981198,0.6557422969187676,0.0853513507914285,0.8557518571825851,intermediate,0,0.0017195197239772,0.5623154717944184,0.48362751588069347
ENSG00000000005,TNMD,0.474063511859014,0.6325089177652843,0.0040914523846285,0.8805825768849811,intermediate,0,0.0002171373626438,0.2337756241475725,0.7027755347268912
ENSG00000000419,DPM1,0.225329710360445,0.0649859943977591,0.2830789414285714,0.2765581822770336,intermediate,0,0.0017150458808947,0.01499872772839721,0.20292072241946532
ENSG00000000457,SCYL3,0.4971406120996313,0.4134453781512606,0.0951828253428571,0.5747668134218407,intermediate,0,0.0013164229990343,0.4160474420141552,0.24464077877368803
ENSG00000000460,FIRRM,0.3151557127337356,0.3893557422969188,0.0699836516285714,0.6724177557680514,intermediate,0,0.0016883859748466,0.3191897317299565,0.12784488058273066
ENSG00000000938,FGR,0.8799773042869254,0.8092436974789917,0.3246487519571429,0.820595493634282,conserved,0,0.0032999278859124,0.8478066588152545,0.9331494628517559
ENSG00000001036,FUCA2,0.0755055056806715,0.1630252100840336,0.1812754969428571,0.6729527210572063,divergent,0,0.0016200257637898,0.08298120704022989,0.08467058179428831
ENSG00000001084,GCLC,0.6898722323592282,0.1599439775910364,0.3107720775428572,0.8404156420391651,conserved,0,0.0100655241102596,0.6336328536750885,0.8023993073673403
ENSG00000001167,NFYA,0.0877695626804486,0.2198879551820728,0.1431449689142857,0.693231185903958,divergent,0,0.0014113858304884,0.01947158254586813,0.3520529046105536
ENSG00000001460,STPG1,0.3661165518615692,0.5783506566671613,0.0465484674,0.8717644752941315,intermediate,0,0.0005248851352647,0.3239957931664763,0.5576486444336199
ENSG00000001461,NIPAL3,0.3898407320393252,0.3436974789915966,0.1334176975142857,0.5597251384086686,intermediate,0,0.002337499840262,0.3226664188853232,0.28718382886436417
ENSG00000001497,LAS1L,0.5462504749218944,0.6224089635854343,0.1125077480285714,0.5447341464111591,intermediate,0,0.0015160156578398,0.44951964363970737,0.48083882661598565
ENSG00000001561,ENPP4,0.2647283666369885,0.3487394957983193,0.0986113297428571,0.6713074079035166,intermediate,0,0.0015999908365998,0.23080857128830276,0.26554039694402654
ENSG00000001617,SEMA3F,0.7526251365638006,0.6000000000000001,0.03198160385,0.9296307640821937,conserved,0,0.0015850416689928,0.736062904476014,0.7397999102496361
ENSG00000001626,CFTR,0.8685095651758474,0.4410212752509891,0.1777867932857142,0.9838268780583135,conserved,0,0.0002842429735015,0.8659597322550499,0.8748339236176796
